month,max_temp,min_temp,preciation,wind,humidity
January,4.5,-0.1,47,13.5,81
February,6.4,-0.5,45,13.9,76
March,11.2,2.5,55,15.5,70
April,15.2,5.1,64,14.6,68
May,19.6,9.2,99,14,72
June,22.9,12.4,86,13.1,71
July,25.3,14.5,91,12.5,70
August,24.7,14.2,80,13.5,72
September,20.3,7.4,78,13.5,77
October,15.2,2.7,73,13.7,81
November,8.7,0.1,59,13.4,82
December,9.3,0.1,55,13.4,84
