latitude,longitude,country,January_Avg_temp,February_Avg_temp,March_Avg_temp,April_Avg_temp,May_Avg_temp,June_Avg_temp,July_Avg_temp,August_Avg_temp,September_Avg_temp,October_Avg_temp,November_Avg_temp,December_Avg_temp,January_rain,February_rain,March_rain,April_rain,May_rain,June_rain,July_rain,August_rain,September_rain,October_rain,November_rain,December_rain
-25.274398,133.775136,Australia,28.6973,27.0687,24.471,21.2642,16.5332,14.2911,14.5596,16.7487,19.1151,22.8282,25.4111,26.5171,101.075,104.806,124.626,28.7586,17.5143,19.7689,21.3636,17.4102,13.5557,32.8624,47.8853,70.4251
-14.235004,-51.92528,Brazil,26.0039,25.9424,25.6809,25.6713,24.7252,24.1491,24.2797,25.1329,26.1025,26.1899,25.975,26.1336,245.482,262.373,282.616,203.862,139.706,72.2089,72.2089,52.4179,52.0665,140.386,168.241,180.697
56.130366,-106.346771,Canada,-21.626,-22.255,-18.008,-10.756,0.6981,8.02073,12.1829,10.8473,5.29899,-2.2322,-12.909,-17.781,28.0723,22.0558,26.2686,28.3387,33.3828,56.9165,62.5688,58.8919,45.0758,38.9234,33.9434,25.6385
35.86166,104.195397,China,-10.551,-3.8005,0.01453,8.92692,13.5399,18.1648,20.0844,19.3468,14.127,8.30048,1.23658,-6.58,7.04405,12.5925,16.7903,21.7109,61.8465,96.9062,98.3806,79.1088,58.8982,33.4822,25.5315,6.50707
4.570868,-74.297333,Colombia,24.8172,24.9084,24.5955,24.5218,24.5401,24.4578,24.1199,24.7564,24.8476,24.4817,24.7426,24.8032,124.76,174.187,204.542,418.318,389.232,342.108,306.158,210.869,278.991,270.26,319.737,239.535
26.820553,30.802498,Egypt,14.41,16.8032,18.2411,22.272,26.759,29.4687,30.9567,30.5582,28.4856,24.6313,17.2305,14.6459,1.79052,2.35943,2.7697,2.99102,0.64547,1.64623,2.50175,1.44966,1.22527,0.40954,4.53735,1.27885
55.378051,-3.435973,United Kingdom,3.03013,5.10872,5.64819,9.72979,11.1078,12.6921,14.0366,14.0481,13.5895,10.9368,8.49413,4.83359,103.789,122.32,66.1784,33.2538,91.0735,93.738,82.0404,114.928,109.568,128.56,93.0525,163.482
20.593684,78.96288,India,16.6888,20.0051,24.5443,27.4123,30.4296,29.0423,27.3639,26.74,26.4838,25.465,22.1946,18.5868,3.68602,21.0137,7.75301,29.96,52.2376,214.147,239.78,324.397,193.288,40.0764,16.6001,8.06438
32.427908,53.688046,Iran,5.34661,7.09739,11.7551,18.3013,23.9642,28.4321,29.4636,28.6809,24.257,18.4,10.2752,5.56928,30.0523,47.2864,26.9135,24.4626,15.8568,3.51853,2.80329,5.61396,3.12283,15.1419,32.0414,2.95446
-0.023559,37.906193,Kenya,26.1305,26.0875,26.8969,27.0179,25.8316,24.4374,23.8652,23.9092,24.8131,24.8914,24.9862,25.0738,19.4906,28.7876,83.5573,65.3496,84.732,27.0977,18.9236,23.6642,35.2312,93.8432,113.547,42.9499
9.081999,8.675277,Nigeria,24.7361,28.5429,24.7361,28.5429,30.5108,30.4897,29.7214,27.9851,26.8528,25.8418,26.3805,1.42689,18.0224,8.7958,35.8884,100.504,113.528,144.005,192.075,215.684,125.268,7.62675,2.62243,1.2637
37.09024,-95.712891,United States,-5.6359,-4.2505,0.74491,6.50072,12.2391,17.8593,21.0577,20.0842,15.4748,8.92776,0.27069,-2.6951,37.7097,47.9114,55.2078,60.9045,68.7347,61.7101,65.3191,63.2531,56.3247,48.5659,55.0272,52.0984
-30.559482,22.937506,South Africa,23.2175,23.414,22.7592,17.8131,16.1669,11.2396,10.7161,13.2937,16.9828,18.887,20.2859,22.0699,110.104,69.8546,68.5168,62.4786,42.344,34.5871,16.8362,16.8455,3.88063,26.5398,47.5288,58.4075
-13.133897,27.849332,Madagascar,25.2438,24.9066,24.7464,24.349,22.0143,20.8071,19.775,19.8931,21.1838,22.8437,24.468,25.0793,269.223,255.336,163.144,138.154,56.9829,26.9305,14.1539,54.3974,30.2524,50.962,76.2114,138.701
-19.015438,29.154857,Zimbabwe,23.7715,23.6557,23.994,21.9485,19.4341,17.1706,16.0478,17.7009,22.4287,24.5766,25.4372,24.4025,229.124,86.984,42.7159,48.2284,5.4199,3.22586,0.20251,1.65674,0.76184,40.8374,91.7497,206.607
51.919438,19.145136,Poland,-0.9494,-3.0122,3.47973,10.4809,13.8197,17.8551,17.8775,18.5888,15.1858,8.7405,3.13571,2.71334,32.2882,24.8242,20.0858,32.0924,47.6029,66.3143,155.791,58.3068,30.9263,30.8403,3.21375,40.7041
60.128161,18.643501,Sweden,-8.9058,-11.005,-3.7945,3.7651,7.47777,13.5425,15.2851,13.2023,9.98481,4.31814,0.73031,-3.5777,50.3693,35.0926,30.4936,22.7667,59.726,69.9979,72.6805,101.028,85.0983,57.4963,36.229,81.3903
28.16324,2.632388,Algeria,13.2785,14.6538,19.3183,24.2536,27.5689,32.0004,33.7258,33.1877,30.1676,24.023,18.4628,13.103,5.53622,8.91937,10.0905,11.7525,12.3967,4.50567,5.21936,6.26064,3.33887,11.716,10.3152,5.44152
61.52401,105.318756,Russia,-25.152,-25.195,-12.491,-2.8477,4.76823,12.9546,15.7804,12.6605,6.19888,-2.1087,-16.475,-21.299,20.7336,16.9374,19.4263,25.7805,31.0913,52.3907,65.7777,64.7168,51.236,40.3055,29.1003,23.4494
