latitude,longitude,country,January_Avg_temp,February_Avg_temp,March_Avg_temp,April_Avg_temp,May_Avg_temp,June_Avg_temp,July_Avg_temp,August_Avg_temp,September_Avg_temp,October_Avg_temp,November_Avg_temp,December_Avg_temp,January_rain,February_rain,March_rain,April_rain,May_rain,June_rain,July_rain,August_rain,September_rain,October_rain,November_rain,December_rain
-25.274398,133.775136,Australia,28.4772,27.8996,25.614,23.1362,18.089,15.0195,14.6815,15.553,18.8901,21.9421,24.5987,26.3258,103.119,102.551,58.0765,39.6915,31.3036,13.7127,27.0671,28.8687,41.3411,48.8311,59.5348,97.6594
-14.235004,-51.92528,Brazil,26.5481,27.0655,26.8228,25.8801,24.9453,24.0319,24.2075,24.7496,26.498,26.583,26.1724,26.3027,245.466,214.736,240.907,240.907,133.099,72.7541,67.3053,40.758,57.6373,113.856,161.147,213.956
56.130366,-106.346771,Canada,-20.737,-17.658,-13.016,-4.5552,0.6699,7.99525,12.2206,10.9423,4.27929,-1.8049,-10.742,-17.834,25.7178,17.3839,20.6001,25.5649,37.1896,52.7087,61.1422,64.3766,58.2898,43.9029,34.9712,37.2897
35.86166,104.195397,China,-7.157,-4.8447,0.73827,6.68239,13.6894,18.0626,20.6833,19.3831,14.9127,7.79118,1.00899,-6.217,12.582,17.2176,30.1642,48.6364,73.0509,85.6447,108.11,101.782,73.9885,34.5648,11.4941,15.6162
4.570868,-74.297333,Colombia,25.8196,26.0543,26.6059,25.5359,25.1456,24.3437,23.8508,24.3578,24.4737,24.7139,24.2439,24.3646,45.4006,89.7351,161.378,327.728,359.239,367.621,380.063,222.503,280.54,246.472,375.281,261.668
26.820553,30.802498,Egypt,16.2853,18.2883,21.1547,24.3651,27.4035,30.6726,30.7933,31.7785,29.6992,27.5612,22.1475,16.5754,2.84198,0.24605,0.27875,8.83731,1.29149,3.84991,8.03098,1.38485,0.52419,0.26019,2.5266,
55.378051,-3.435973,United Kingdom,1.14695,1.8491,5.02975,7.76801,9.70183,14.0881,15.5468,14.2832,12.8384,9.57028,4.52795,0.10307,92.388,94.6451,94.5518,47.407,55.9028,45.2347,126.594,94.3303,128.771,103.969,134.707,59.0569
20.593684,78.96288,India,17.382,20.5573,26.1243,29.9483,31.0187,29.9066,27.616,27.0296,26.4938,25.7275,22.4972,17.779,6.99763,8.72056,16.1235,42.6512,56.4619,141.253,253.967,278.836,219.116,80.5135,58.3874,16.3028
32.427908,53.688046,Iran,8.22685,9.2411,14.6681,18.4911,23.1901,28.172,30.1231,27.7524,24.1283,20.6528,12.1219,8.07553,14.0587,32.2939,20.9862,32.0047,19.9406,3.82486,0.70727,6.42362,1.4822,3.64911,4.84244,5.41105
-0.023559,37.906193,Kenya,26.2326,26.4022,27.0585,26.7494,25.2216,24.1788,23.5993,24.1275,24.7352,25.7465,25.2708,25.984,46.9243,44.5868,96.3101,109.239,72.8616,45.9529,16.5458,33.5338,16.7171,50.512,59.7331,42.677
9.081999,8.675277,Nigeria,262130%,29.3562,30.3852,31.4132,30.2729,28.1466,26.4501,25.8008,25.9963,27.467,27.4672,25.3224,2.08948,8.73563,18.9982,60.8935,99.5974,179.423,222.416,227.779,227.158,140.12,29.4813,3.98029
37.09024,-95.712891,United States,-5.7482,-3.993,1.04996,7.51055,12.5768,18.0394,20.4354,20.1567,15.6135,9.22403,1.41036,-5.1805,50.1073,39.7066,44.9993,46.7279,63.829,77.4315,79.1638,60.0104,61.7539,43.3109,49.9228,48.2696
-30.559482,22.937506,South Africa,23.6206,23.6908,22.7083,18.771,15.8003,11.6559,12.7025,14.1584,17.585,19.2173,21.4759,22.5635,104.207,66.2842,44.4797,35.604,19.5946,10.4839,7.81469,4.82957,5.51609,29.9037,57.5838,91.3782
-13.133897,27.849332,Madagascar,25.2486,25.6439,25.3312,24.5542,22.8534,20.685,19.8159,19.9555,21.2819,23.3313,24.071,24.8953,287.732,247.4,184.034,85.41,44.8353,59.1995,34.8987,47.7612,30.6368,48.0908,95.9897,136.815
-19.015438,29.154857,Zimbabwe,25.7003,25.0807,24.3845,22.7432,20.6037,16.4426,16.6081,18.0429,22.5814,26.1651,26.0128,24.6683,129.316,135.285,85.9102,56.2456,12.737,0.79308,2.42704,0.65759,1.00846,10.8093,96.7114,156.338
51.919438,19.145136,Poland,-6.8253,-1.6996,3.58338,8.52708,12.5782,16.8574,21.1207,18.8998,12.4607,6.45301,5.4316,-4.962,36.1597,26.2282,31.7156,34.5708,125.367,71.6008,100.021,126.398,90.4656,15.378,86.6011,51.4705
60.128161,18.643501,Sweden,-12.891,-12.448,-5.6353,1.62953,7.01886,10.8113,15.6146,12.7902,8.14709,2.77329,-7.2141,-13.006,28.0212,43.5153,38.6154,25.7878,59.0526,75.2838,97.4692,90.4681,54.7647,49.6988,45.8796,37.2966
28.16324,2.632388,Algeria,13.9467,17.1882,19.9406,24.1926,27.4351,31.6958,33.9105,33.0558,29.8647,24.2364,18.7191,14.8436,9.37022,10.4939,7.60012,6.84542,5.55251,6.40218,6.73834,8.04884,6.03573,11.683,10.3759,3.79826
61.52401,105.318756,Russia,-27.97,-26.767,-5.7484,12.2678,16.1353,12.969,16.1353,12.969,5.80722,-3.506,-13.941,-25.453,20.9997,15.0402,21.5349,19.0173,35.8275,58.0102,61.2652,64.6174,48.5641,35.641,38.4794,31.3165
-38.416097,-63.616672,Agentina,21.6277,19.3766,19.0416,13.6482,10.2304,8.40695,6.41267,8.26341,11.9437,14.8717,17.6103,20.3689,61.313,96.5549,65.2137,29.2779,43.5191,23.2262,27.4998,14.4193,38.7812,34.61,33.4878,56.7262
