latitude,longitude,country,January_Avg_temp,February_Avg_temp,March_Avg_temp,April_Avg_temp,May_Avg_temp,June_Avg_temp,July_Avg_temp,August_Avg_temp,September_Avg_temp,October_Avg_temp,November_Avg_temp,December_Avg_temp,January_rain,February_rain,March_rain,April_rain,May_rain,June_rain,July_rain,August_rain,September_rain,October_rain,November_rain,December_rain
-25.274398,133.775136,Australia,27.8721,26.7473,24.3011,21.8773,17.2826,14.3544,13.5886,16.0686,20.0223,23.2514,26.4681,27.979,102.219,74.9068,99.2659,24.0092,18.6466,27.4982,18.1018,9.18482,11.1093,11.4801,27.6475,27.6475
-14.235004,-51.92528,Brazil,25.7407,25.8938,25.831,25.8573,24.8098,24.2814,24.0859,25.1256,26.4915,27.209,26.6183,26.5734,256.824,239.551,222.431,167.197,111.888,74.9119,62.8351,40.8529,58.7737,86.6818,161.262,173.289
56.130366,-106.346771,Canada,-22.644,-18.766,-16.421,-8.3296,1.41509,9.05884,12.9856,11.0008,6.14519,-4.2614,-14.457,-20.513,27.8012,20.1216,29.1646,28.1081,35.1759,60.2595,53.5009,51.2439,39.039,43.4181,34.2133,31.8712
35.86166,104.195397,China,-9.7547,-6.0407,0.62189,9.07236,14.4223,18.0017,20.1618,19.0979,14.2195,7.45624,-0.7829,-7.4122,15.7127,13.7741,28.3348,43.5967,60.3049,98.1343,125.575,88.4487,68.2231,27.3519,26.838,17.0108
4.570868,-74.297333,Colombia,25.1157,24.8514,25.0705,24.6272,24.5996,24.6517,24.4861,24.5481,24.9321,24.8861,24.9394,25.0271,139.684,108.976,199.521,277.141,236.268,179.003,232.804,185.661,169.714,249.716,166.472,197.758
26.820553,30.802498,Egypt,12.4134,15.4001,17.357,24.1146,28.1435,30.6875,31.5257,31.2167,28.7311,26.3232,20.9821,15.4892,4.50333,2.71883,1.84284,0.79004,0.45443,1.54115,2.48006,1.45472,1.08196,1.25241,2.16875,5.50551
55.378051,-3.435973,United Kingdom,4.58166,4.24919,7.55459,6.39969,10.3792,12.3407,13.9926,15.3931,12.0325,8.42695,5.75419,4.09456,107.573,55.0107,39.0537,131.5,67.5547,153.169,124.654,116.266,127.559,155.918,148.156,134.5
20.593684,78.96288,India,16.6222,19.4668,24.0941,28.0412,30.5773,30.3599,27.6792,26.5911,26.4614,24.7361,21.0864,18.5947,20.106,3.55318,8.27489,38.1532,38.6942,90.9044,253.108,267.531,217.219,53.0233,23.7162,8.95073
32.427908,53.688046,Iran,5.34661,7.09739,11.7551,18.3013,23.9642,28.4321,29.4636,28.6809,24.257,18.4,10.2752,5.56928,30.0523,47.2864,26.9135,24.4626,15.8568,3.51853,2.80329,5.61396,3.12283,15.1419,32.0414,2.95446
-0.023559,37.906193,Kenya,26.1305,26.0875,26.8969,27.0179,25.8316,24.4374,23.8652,23.9092,24.8131,24.8914,24.9862,25.0738,19.4906,28.7876,83.5573,65.3496,84.732,27.0977,18.9236,23.6642,35.2312,93.8432,113.547,42.9499
9.081999,8.675277,Nigeria,24.7361,28.5429,24.7361,28.5429,30.5108,30.4897,29.7214,27.9851,26.8528,25.8418,26.3805,1.42689,18.0224,8.7958,35.8884,100.504,113.528,144.005,192.075,215.684,125.268,7.62675,2.62243,1.2637
37.09024,-95.712891,United States,-5.6359,-4.2505,0.74491,6.50072,12.2391,17.8593,21.0577,20.0842,15.4748,8.92776,0.27069,-2.6951,37.7097,47.9114,55.2078,60.9045,68.7347,61.7101,65.3191,63.2531,56.3247,48.5659,55.0272,52.0984
-30.559482,22.937506,South Africa,23.2175,23.414,22.7592,17.8131,16.1669,11.2396,10.7161,13.2937,16.9828,18.887,20.2859,22.0699,110.104,69.8546,68.5168,62.4786,42.344,34.5871,16.8362,16.8455,3.88063,26.5398,47.5288,58.4075
-13.133897,27.849332,Madagascar,25.2438,24.9066,24.7464,24.349,22.0143,20.8071,19.775,19.8931,21.1838,22.8437,24.468,25.0793,269.223,255.336,163.144,138.154,56.9829,26.9305,14.1539,54.3974,30.2524,50.962,76.2114,138.701
-19.015438,29.154857,Zimbabwe,23.7715,23.6557,23.994,21.9485,19.4341,17.1706,16.0478,17.7009,22.4287,24.5766,25.4372,24.4025,229.124,86.984,42.7159,48.2284,5.4199,3.22586,0.20251,1.65674,0.76184,40.8374,91.7497,206.607
51.919438,19.145136,Poland,-0.9494,-3.0122,3.47973,10.4809,13.8197,17.8551,17.8775,18.5888,15.1858,8.7405,3.13571,2.71334,32.2882,24.8242,20.0858,32.0924,47.6029,66.3143,155.791,58.3068,30.9263,30.8403,3.21375,40.7041
60.128161,18.643501,Sweden,-8.9058,-11.005,-3.7945,3.7651,7.47777,13.5425,15.2851,13.2023,9.98481,4.31814,0.73031,-3.5777,50.3693,35.0926,30.4936,22.7667,59.726,69.9979,72.6805,101.028,85.0983,57.4963,36.229,81.3903
28.16324,2.632388,Algeria,13.2785,14.6538,19.3183,24.2536,27.5689,32.0004,33.7258,33.1877,30.1676,24.023,18.4628,13.103,5.53622,8.91937,10.0905,11.7525,12.3967,4.50567,5.21936,6.26064,3.33887,11.716,10.3152,5.44152
61.52401,105.318756,Russia,-25.152,-25.195,-12.491,-2.8477,4.76823,12.9546,15.7804,12.6605,6.19888,-2.1087,-16.475,-21.299,20.7336,16.9374,19.4263,25.7805,31.0913,52.3907,65.7777,64.7168,51.236,40.3055,29.1003,23.4494
-38.416097,-63.616672,Agentina,21.3367,19.9984,17.7872,14.7253,10.8847,7.94541,7.2453,8.42142,13.1684,14.7345,18.9789,20.8096,80.3229,83.5,46.5116,48.4976,21.8217,26.7778,27.9262,17.2629,17.571,55.2239,58.3671,38.8056
